Instance,Swaps,Height,TimeIter,TimeBin
7x7_001,14,7,180,165
7x7_002,3,3,66,66
7x7_003,6,3,87,116
7x7_004,7,5,142,76
7x7_005,11,5,110,143
7x7_006,15,8,192,263
7x7_007,7,4,97,106
7x7_008,7,5,105,94
7x7_009,18,7,564,356
7x7_010,0,0,0,0
7x7_011,17,8,271,332
7x7_012,13,6,191,129
7x7_013,14,7,104,224
7x7_014,15,7,238,159
7x7_015,6,3,59,64
7x7_016,13,6,446,133
7x7_017,19,10,718,361
7x7_018,18,8,354,252
7x7_019,13,6,219,159
7x7_020,10,6,154,144
7x7_021,12,7,225,299
7x7_022,9,6,81,177
7x7_023,6,4,87,94
7x7_024,12,6,168,222
7x7_025,4,3,71,64
7x7_026,19,8,515,374
7x7_027,8,5,175,116
7x7_028,8,4,86,89
7x7_029,4,3,89,71
7x7_030,15,6,414,188
7x7_031,7,5,65,105
7x7_032,12,5,305,158
7x7_033,9,6,124,159
7x7_034,16,8,170,201
7x7_035,8,5,110,126
7x7_036,8,5,77,117
7x7_037,6,3,62,78
7x7_038,15,7,268,149
7x7_039,14,6,201,205
7x7_040,14,7,311,110
7x7_041,4,3,36,35
7x7_042,13,6,284,244
7x7_043,3,3,85,87
7x7_044,12,6,336,205
7x7_046,20,9,800,600
7x7_047,5,4,76,137
7x7_048,12,5,167,120
7x7_049,16,7,374,179
7x7_051,18,7,222,184
7x7_052,17,7,406,262
7x7_053,2,1,38,26
7x7_054,13,7,179,233
7x7_055,13,8,274,249
7x7_056,12,7,143,119
7x7_057,12,5,118,127
7x7_058,11,5,65,100
7x7_059,10,6,108,128
7x7_060,14,6,203,136
7x7_062,9,5,169,92
7x7_063,4,3,45,54
7x7_064,13,6,299,117
7x7_065,8,4,64,82
7x7_066,4,4,44,69
7x7_067,14,7,193,127
7x7_068,9,5,149,132
7x7_069,8,5,77,70
7x7_070,6,4,50,76
7x7_071,12,6,250,107
7x7_072,10,6,89,91
7x7_073,12,6,176,201
7x7_074,3,3,64,52
7x7_075,12,6,135,123
7x7_076,1,1,21,0
7x7_077,5,3,50,66
7x7_078,9,4,94,90
7x7_079,14,7,88,182
7x7_080,19,9,414,521
7x7_081,9,4,79,94
7x7_082,12,6,211,119
7x7_083,13,6,184,150
7x7_084,16,6,423,185
7x7_085,10,4,183,156
7x7_086,3,3,55,63
7x7_087,15,8,296,247
7x7_088,15,8,214,586
7x7_089,14,8,272,369
7x7_090,7,4,70,95
7x7_091,14,6,161,236
7x7_092,11,5,170,165
7x7_093,7,5,122,124
7x7_095,11,6,158,85
7x7_096,17,7,225,193
7x7_097,5,4,51,72
7x7_098,9,6,129,195
7x7_099,14,6,189,257
7x7_100,8,4,113,92
7x7_101,14,6,124,267
7x7_102,7,4,102,190
7x7_104,17,7,337,200
7x7_105,14,8,451,399
7x7_106,7,4,54,66
7x7_107,7,4,48,78
7x7_108,8,5,81,155
7x7_109,19,7,566,201
7x7_110,8,5,86,102
7x7_111,10,5,64,145
7x7_113,10,5,113,148
7x7_114,21,9,558,385
7x7_115,9,6,110,102
7x7_116,14,8,332,369
